ZAMAN,KAYNAK,ANA_0_DURUM,ANA_1_IRT,ANA_2_HIZ,ANA_3_SIC,ANA_4_NEM,ANA_5_EN,ANA_6_BOY,ANA_7_PITCH,ANA_8_ROLL,ANA_9_YAW,ANA_10_BASMS,ANA_11_BASBMP,ANA_12_BASTOP,ANA_13,ANA_14,ANA_15,ANA_16,ANA_17,ANA_18,ANA_19,ANA_20_IVMEX,ANA_21_IVMEY,ANA_22_IVMEZ,ANA_23,ANA_24,ANA_25,ANA_26,GOREV_0_DURUM,GOREV_1_EN,GOREV_2_BOY,GOREV_3_IVMEX,GOREV_4_IVMEY,GOREV_5_IVMEZ,GOREV_6_FILTREX,GOREV_7_FILTREY,GOREV_8_FILTREZ
"06:27:36.274","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.46","18.66","54.70","14.83","11.85","26.67","0.000000","0.000000","",""
"06:27:36.275","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.46","18.68","54.62","14.87","11.90","26.64","0.000000","0.000000","",""
"06:27:36.395","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.46","18.66","54.53","14.94","11.95","26.60","0.000000","0.000000","",""
"06:27:36.598","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.45","18.65","54.45","14.75","11.64","26.57","0.000000","0.000000","",""
"06:27:36.722","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.45","18.65","54.36","14.86","11.75","26.53","0.000000","0.000000","",""
"06:27:36.889","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.47","18.67","54.28","14.84","11.83","26.50","0.000000","0.000000","",""
"06:27:37.068","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.45","18.64","54.20","14.75","11.92","26.46","0.000000","0.000000","",""
"06:27:37.248","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.46","18.65","54.11","14.81","12.01","26.43","0.000000","0.000000","",""
"06:27:37.392","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.46","18.66","54.03","14.94","11.87","26.39","0.000000","0.000000","",""
"06:27:37.559","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.47","18.64","53.94","14.79","11.79","26.36","0.000000","0.000000","",""
"06:27:37.724","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.47","18.65","53.86","14.89","11.81","26.32","0.000000","0.000000","",""
"06:27:37.890","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.47","18.65","53.77","14.78","11.88","26.29","0.000000","0.000000","",""
"06:27:38.057","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.45","18.64","53.69","14.74","11.80","26.25","0.000000","0.000000","",""
"06:27:38.224","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.42","18.65","53.60","14.90","11.83","26.21","0.000000","0.000000","",""
"06:27:38.391","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.43","18.64","53.52","14.73","11.73","26.18","0.000000","0.000000","",""
"06:27:38.558","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.42","18.63","53.43","14.86","11.78","26.14","0.000000","0.000000","",""
"06:27:38.724","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.43","18.64","53.35","14.71","11.83","26.10","0.000000","0.000000","",""
"06:27:38.892","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.44","18.66","53.27","14.75","11.84","26.07","0.000000","0.000000","",""
