ZAMAN,KAYNAK,ANA_0_DURUM,ANA_1_IRT,ANA_2_HIZ,ANA_3_SIC,ANA_4_NEM,ANA_5_EN,ANA_6_BOY,ANA_7_PITCH,ANA_8_ROLL,ANA_9_YAW,ANA_10_BASMS,ANA_11_BASBMP,ANA_12_BASTOP,ANA_13,ANA_14,ANA_15,ANA_16,ANA_17,ANA_18,ANA_19,ANA_20_IVMEX,ANA_21_IVMEY,ANA_22_IVMEZ,ANA_23,ANA_24,ANA_25,ANA_26,GOREV_0_DURUM,GOREV_1_EN,GOREV_2_BOY,GOREV_3_IVMEX,GOREV_4_IVMEY,GOREV_5_IVMEZ,GOREV_6_FILTREX,GOREV_7_FILTREY,GOREV_8_FILTREZ
"16:23:45.391","ANA","0","+0.0","+0.LiI?r?","+0.0","+0.0000","+0.0000","-29.7","+51.3","-23.0","102204","102337??????b?b?b?b?b?b?b?b?b?b?bj?r??bj?r??bZ?r??b??j","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","","","","","","","",""
"16:23:46.405","ANA","0","+0.0","+0.0","+27.5","+0.0","+0.0000","+0.0000","-29.2","+50.6","-20.8","102202","102339","102270","0","0","0","0","0","0","0","0","0","0","-7.05","-5.34","+4.76","29","","","","","","","","","",""
"16:23:47.424","ANA","0","+0.0","+0.0","+27.5","+0.0","+0.0000","+0.0000","-32.0","+49.1","-22.7","102202","102338","102270","0","0","0","0","0","0","0","0","0","0","-0.01","-0.92","+0.01","30","","","","","","","","","",""
"16:23:48.441","ANA","0","+0.1","+0.0","+27.5","+0.0","+0.0000","+0.0000","-32.5","+40.8","-19.3","102194","102331","102262","0","0","0","0","0","0","0","0","0","0","-5.44","-5.96","+5.69","31","","","","","","","","","",""
"16:23:49.459","ANA","0","+0.4","+0.0","+27.5","+0.0","+0.0000","+0.0000","-16.0","+29.8","-39.8","102192","102329","102260","0","0","0","0","0","0","0","0","0","0","-3.93","-3.95","+7.55","32","","","","","","","","","",""
"16:23:50.476","ANA","0","+0.2","+0.0","+27.5","+0.0","+0.0000","+0.0000","-16.6","+27.8","-41.5","102198","102334","102266","0","0","0","0","0","0","0","0","0","0","-3.48","-4.38","+7.73","33","","","","","","","","","",""
"16:23:51.494","ANA","0","+0.0","+0.0","+27.5","+0.0","+0.0000","+0.0000","-26.2","+31.0","-40.8","102204","102341","102272","0","0","0","0","0","0","0","0","0","0","-3.27","-5.34","+6.84","34","","","","","","","","","",""
"16:23:52.512","ANA","0","+0.0","+0.0","+27.5","+0.0","+0.0000","+0.0000","-35.6","+27.6","-52.6","102206","102341","102273","0","0","0","0","0","0","0","0","0","0","-0.96","-6.19","+6.30","35","","","","","","","","","",""
"16:23:53.530","ANA","0","+0.0","+0.0","+27.5","+0.0","+0.0000","+0.0000","-49.6","+31.1","-45.7","102205","102337","102271","0","0","0","0","0","0","0","0","0","0","-1.62","-7.69","+4.61","36","","","","","","","","","",""
"16:23:54.547","ANA","0","+0.0","+0.0","+27.5","+0.0","+0.0000","+0.0000","-51.3","+29.6","-46.3","102204","102336","102270","0","0","0","0","0","0","0","0","0","0","-0.94","-8.27","+4.79","37","","","","","","","","","",""
"16:23:55.565","ANA","0","+0.0","+0.0","+27.5","+0.0","+0.0000","+0.0000","-49.4","+26.3","-46.8","102202","102336","102269","0","0","0","0","0","0","0","0","0","0","-0.32","-7.78","+5.28","38","","","","","","","","","",""
"16:23:56.582","ANA","0","+0.0","+0.0","+27.5","+0.0","+0.0000","+0.0000","-26.7","+11.0","-40.1","102200","102334","102267","0","0","0","0","0","0","0","0","0","0","+0.10","-3.95","+7.98","39","","","","","","","","","",""
"16:23:57.575","ANA","0","+0.1","+0.0","+27.5","+0.0","+0.0000","+0.0000","-4.5","+5.8","-49.8","102196","102330","102263","0","0","0","0","0","0","0","0","0","0","+0.19","-1.01","+9.26","40","","","","","","","","","",""
"16:23:58.583","ANA","0","+0.2","+0.0","+27.5","+0.0","+0.0000","+0.0000","+1.7","-3.9","-64.6","102196","102328","102262","0","0","0","0","0","0","0","0","0","0","+0.06","+0.23","+8.44","41","","","","","","","","","",""
"16:23:59.590","ANA","0","+0.2","+0.0","+27.5","+0.0","+0.0000","+0.0000","+0.3","-3.0","-76.6","102196","102328","102262","0","0","0","0","0","0","0","0","0","0","+0.12","+0.04","+9.55","42","","","","","","","","","",""
"16:24:00.598","ANA","0","+0.5","+0.0","+27.5","+0.0","+0.0000","+0.0000","+0.3","-3.1","-76.6","102190","102323","102257","0","0","0","0","0","0","0","0","0","0","+0.18","+0.12","+9.72","43","","","","","","","","","",""
"16:24:01.606","ANA","0","+0.8","+0.0","+27.5","+0.0","+0.0000","+0.0000","+0.3","-3.1","-76.6","102188","102322","102255","0","0","0","0","0","0","0","0","0","0","+0.17","+0.12","+9.71","44","","","","","","","","","",""
"16:24:02.614","ANA","0","+1.0","+0.0","+27.5","+0.0","+0.0000","+0.0000","+0.3","-3.1","-76.6","102185","102321","102253","0","0","0","0","0","0","0","0","0","0","+0.19","+0.15","+9.71","45","","","","","","","","","",""
"16:24:03.621","ANA","0","+1.1","+0.0","+27.5","+0.0","+0.0000","+0.0000","+0.3","-3.1","-76.6","102185","102319","102252","0","0","0","0","0","0","0","0","0","0","+0.16","+0.10","+9.71","46","","","","","","","","","",""
"16:24:04.628","ANA","0","+1.1","+0.0","+27.5","+0.0","+0.0000","+0.0000","+0.3","-3.1","-76.6","102185","102318","102251","0","0","0","0","0","0","0","0","0","0","+0.18","+0.12","+9.72","47","","","","","","","","","",""
"16:24:05.637","ANA","0","+1.1","+0.0","+27.5","+0.0","+0.0000","+0.0000","+0.3","-3.1","-76.6","102186","102318","102252","0","0","0","0","0","0","0","0","0","0","+0.17","+0.09","+9.71","48","","","","","","","","","",""
"16:24:06.644","ANA","0","+1.1","+0.0","+27.5","+0.0","+0.0000","+0.0000","+0.3","-3.1","-76.6","102184","102317","102251","0","0","0","0","0","0","0","0","0","0","+0.17","+0.13","+9.69","49","","","","","","","","","",""
"16:24:07.652","ANA","0","+1.1","+0.0","+27.5","+0.0","+0.0000","+0.0000","+0.3","-3.1","-76.7","102187","102320","102254","0","0","0","0","0","0","0","0","0","0","+0.18","+0.13","+9.68","50","","","","","","","","","",""
"16:24:08.660","ANA","0","+0.9","+0.0","+27.5","+0.0","+0.0000","+0.0000","+0.3","-3.1","-76.7","102187","102325","102256","0","0","0","0","0","0","0","0","0","0","+0.17","+0.13","+9.72","51","","","","","","","","","",""
"16:24:09.666","ANA","0","+1.0","+0.0","+27.5","+0.0","+0.0000","+0.0000","+0.3","-3.1","-76.7","102184","102320","102252","0","0","0","0","0","0","0","0","0","0","+0.21","+0.17","+9.69","52","","","","","","","","","",""
"16:24:10.675","ANA","0","+1.1","+0.0","+27.5","+0.0","+0.0000","+0.0000","+0.3","-3.1","-76.7","102187","102318","102252","0","0","0","0","0","0","0","0","0","0","+0.20","+0.13","+9.72","53","","","","","","","","","",""
"16:24:11.682","ANA","0","+1.2","+0.0","+27.4","+0.0","+0.0000","+0.0000","+0.4","-3.4","-76.7","102182","102316","102249","0","0","0","0","0","0","0","0","0","0","+0.17","+0.13","+9.68","54","","","","","","","","","",""
"16:24:12.690","ANA","0","+1.4","+0.0","+27.4","+0.0","+0.0000","+0.0000","+0.4","-3.5","-76.7","102182","102317","102249","0","0","0","0","0","0","0","0","0","0","+0.16","+0.11","+9.69","55","","","","","","","","","",""
"16:24:13.698","ANA","0","+1.3","+0.0","+27.4","+0.0","+0.0000","+0.0000","+0.4","-3.5","-76.7","102182","102318","102250","0","0","0","0","0","0","0","0","0","0","+0.17","+0.11","+9.69","56","","","","","","","","","",""
"16:24:14.705","ANA","0","+1.3","+0.0","+27.4","+0.0","+0.0000","+0.0000","+0.4","-3.5","-76.7","102182","102319","102251","0","0","0","0","0","0","0","0","0","0","+0.18","+0.14","+9.72","57","","","","","","","","","",""
"16:24:15.713","ANA","0","+1.3","+0.0","+27.3","+0.0","+0.0000","+0.0000","+0.4","-3.5","-76.7","102182","102318","102250","0","0","0","0","0","0","0","0","0","0","+0.19","+0.13","+9.68","58","","","","","","","","","",""
"16:24:17.729","ANA","0","+1.1","+0.0","+27.3","+0.0","+0.0000","+0.0000","+0.6","-3.6","-78.5","102186","102320","102253","0","0","0","0","0","0","0","0","0","0","-0.22","+0.57","+9.22","60","","","","","","","","","",""
"16:24:18.758","ANA","0","+1.0","+0.0","+27.3","+0.0","+0.0000","+0.0000","-47.0","+2.5","-53.0","102187","102320","102254","0","0","0","0","0","0","0","0","0","0","+2.65","-7.34","+6.96","61","","","","","","","","","",""
"16:24:19.772","ANA","0","+1.0","+0.0","+27.3","+0.0","+0.0000","+0.0000","-125.3","+111.8","+2.0","102187","102322","102254","0","0","0","0","0","0","0","0","0","0","-2.00","-0.79","-11.38","62","","","","","","","","","",""
"16:24:20.788","ANA","0","+0.9","+0.0","+27.4","+0.0","+0.0000","+0.0000","+133.1","-118.5","-5.9","102188","102326","102257","0","0","0","0","0","0","0","0","0","0","-0.41","+1.19","-9.39","63","","","","","","","","","",""
"16:24:21.805","ANA","0","+0.6","+0.0","+27.4","+0.0","+0.0000","+0.0000","-131.1","+118.6","+2.2","102192","102328","102260","0","0","0","0","0","0","0","0","0","0","-0.52","-0.02","-9.64","64","","","","","","","","","",""
"16:24:22.824","ANA","0","+0.6","+0.0","+27.5","+0.0","+0.0000","+0.0000","-74.9","+61.5","-62.7","102190","102328","102259","0","0","0","0","0","0","0","0","0","0","+0.00","-10.64","-1.51","65","","","","","","","","","",""
"16:24:23.837","ANA","0","+0.4","+0.0","+27.5","+0.0","+0.0000","+0.0000","-3.0","-1.8","-79.6","102196","102330","102263","0","0","0","0","0","0","0","0","0","0","+0.45","-0.37","+10.40","66","","","","","","","","","",""
"16:24:24.847","ANA","0","+0.2","+0.0","+27.6","+0.0","+0.0000","+0.0000","-60.2","-78.5","-64.7","102196","102332","102264","0","0","0","0","0","0","0","0","0","0","+9.56","+0.36","-0.78","67","","","","","","","","","",""
