ZAMAN,KAYNAK,ANA_0_DURUM,ANA_1_IRT,ANA_2_HIZ,ANA_3_SIC,ANA_4_NEM,ANA_5_EN,ANA_6_BOY,ANA_7_PITCH,ANA_8_ROLL,ANA_9_YAW,ANA_10_BASMS,ANA_11_BASBMP,ANA_12_BASTOP,ANA_13,ANA_14,ANA_15,ANA_16,ANA_17,ANA_18,ANA_19,ANA_20_IVMEX,ANA_21_IVMEY,ANA_22_IVMEZ,ANA_23,ANA_24,ANA_25,ANA_26,GOREV_0_DURUM,GOREV_1_EN,GOREV_2_BOY,GOREV_3_IVMEX,GOREV_4_IVMEY,GOREV_5_IVMEZ,GOREV_6_FILTREX,GOREV_7_FILTREY,GOREV_8_FILTREZ
"12:32:24.320","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743350","29.941260","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:24.321","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743300","29.941200","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:25.290","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.753290","29.951190","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:26.293","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.753290","29.951190","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:27.292","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743300","29.941200","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:28.296","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743300","29.941200","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:29.295","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743310","29.941210","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:30.298","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743310","29.941210","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:31.298","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743320","29.941220","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:32.301","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743320","29.941220","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:33.301","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743330","29.941230","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:34.304","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743330","29.941230","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:35.303","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743330","29.941230","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:36.307","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743340","29.941240","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:37.307","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743340","29.941240","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:38.310","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743350","29.941250","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:39.310","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743350","29.941250","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:40.313","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743360","29.941260","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:41.312","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743350","29.941260","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:42.316","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743360","29.941270","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:43.315","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743360","29.941260","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:44.318","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743360","29.941260","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:45.318","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743370","29.941270","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:46.321","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743370","29.941270","1.05","0.05","9.85","1.00","0.02","9.81",""
"12:32:47.321","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","40.743380","29.941280","1.05","0.05","9.85","1.00","0.02","9.81",""
