ZAMAN,KAYNAK,ANA_0_DURUM,ANA_1_IRT,ANA_2_HIZ,ANA_3_SIC,ANA_4_NEM,ANA_5_EN,ANA_6_BOY,ANA_7_PITCH,ANA_8_ROLL,ANA_9_YAW,ANA_10_BASMS,ANA_11_BASBMP,ANA_12_BASTOP,ANA_13,ANA_14,ANA_15,ANA_16,ANA_17,ANA_18,ANA_19,ANA_20_IVMEX,ANA_21_IVMEY,ANA_22_IVMEZ,ANA_23,ANA_24,ANA_25,ANA_26,GOREV_0_DURUM,GOREV_1_EN,GOREV_2_BOY,GOREV_3_IVMEX,GOREV_4_IVMEY,GOREV_5_IVMEZ,GOREV_6_FILTREX,GOREV_7_FILTREY,GOREV_8_FILTREZ
"06:53:28.926","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.30","27.95","4.85","-26.93","27.95","-4.22","40.743361","29.941646","",""
"06:53:28.992","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.31","27.97","4.85","-26.84","27.95","-4.23","40.743361","29.941646","",""
"06:53:29.096","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.31","27.96","4.85","-26.95","28.09","-4.22","40.743361","29.941646","",""
"06:53:29.257","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.31","27.96","4.85","-26.96","28.03","-4.23","40.743361","29.941646","",""
"06:53:29.423","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.31","28.00","4.86","-26.93","28.03","-4.23","40.743361","29.941646","",""
"06:53:29.590","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.31","27.98","4.86","-27.09","28.07","-4.23","40.743361","29.941646","",""
"06:53:29.759","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.33","27.99","4.86","-26.93","28.04","-4.24","40.743361","29.941646","",""
"06:53:29.925","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.31","28.02","4.86","-27.09","27.95","-4.24","40.743361","29.941646","",""
"06:53:30.096","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.34","28.01","4.87","-26.99","27.98","-4.24","40.743361","29.941646","",""
"06:53:30.253","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.32","27.99","4.87","-27.05","28.27","-4.24","40.743361","29.941646","",""
"06:53:30.420","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.31","27.98","4.88","-27.01","28.11","-4.25","40.743361","29.941646","",""
"06:53:30.586","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.29","27.99","4.88","-26.98","28.09","-4.25","40.743361","29.941646","",""
"06:53:30.753","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.29","27.99","4.88","-27.06","28.15","-4.25","40.743361","29.941646","",""
"06:53:30.921","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.31","27.99","4.88","-26.98","28.15","-4.26","40.743361","29.941646","",""
"06:53:31.093","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.31","27.99","4.89","-26.94","27.73","-4.25","40.743361","29.941646","",""
